stride_index,timestamp,stride_length,clearance,stride_time,swing_time,stance_time,stance_ratio,fo_time,ic_time,fo_sample,ic_sample,is_outlier,turning_step,method,subject
0,3.733184000000165,1.2089671954398185,0.0542798049,1.3999440000002323,0.683306000000357,0.7166379999998753,0.5119047619045879,4.44982200000004,5.133128000000397,534,616,False,False,3P,S2
1,5.133128000000397,1.161853517700726,0.0583767207,1.383277999999791,0.6333079999999427,0.7499699999998484,0.5421686746987675,5.8830980000002455,6.516406000000188,706,782,False,False,3P,S2
2,6.516406000000188,1.2029858350829965,0.0540264372,1.449942000000192,0.6666400000003705,0.7833019999998214,0.5402298850572766,7.29970800000001,7.96634800000038,876,956,False,False,3P,S2
3,7.96634800000038,1.248529050028715,0.0565696842,1.416609999999764,0.7083050000001094,0.7083049999996547,0.4999999999998395,8.674653000000035,9.382958000000144,1041,1126,True,False,3P,S2
4,9.382958000000144,1.1284396431329151,0.0557674731,1.3249470000000656,0.6083090000001903,0.7166379999998753,0.5408805031445332,10.09959600000002,10.70790500000021,1212,1285,False,False,3P,S2
5,10.70790500000021,1.2825930646315535,0.0612279446,1.3916110000000117,0.6666399999999157,0.724971000000096,0.5209580838323999,11.432876000000306,12.099516000000222,1372,1452,False,False,3P,S2
6,12.099516000000222,1.269416876621841,0.0611021036,1.4082769999999982,0.6749730000001364,0.7333039999998618,0.5207100591715002,12.832820000000083,13.50779300000022,1540,1621,False,False,3P,S2
7,13.50779300000022,1.224058800031354,0.0548063561,1.3249470000000656,0.6999719999998888,0.6249750000001768,0.4716981132076572,14.132768000000397,14.832740000000284,1696,1780,True,False,3P,S2
8,14.832740000000284,1.2613181803814908,0.054702417,1.3582790000000386,0.6499739999999292,0.7083050000001094,0.5214723926381025,15.541045000000397,16.191019000000324,1865,1943,False,False,3P,S2
9,16.191019000000324,1.2579620090664874,0.0604859935,1.2916150000000926,0.6249750000001768,0.6666399999999157,0.5161290322579623,16.85765900000024,17.482634000000417,2023,2098,False,False,3P,S2
10,17.482634000000417,1.291558549924935,0.0584930884,1.3249469999996109,0.6666399999999157,0.6583069999996951,0.4968553459118655,18.14094100000011,18.807581000000027,2177,2257,True,False,3P,S2
11,18.807581000000027,1.3080712702285269,0.0605675747,1.3582790000000386,0.7083049999996547,0.649974000000384,0.4785276073622322,19.45755500000041,20.165860000000063,2335,2420,True,False,3P,S2
12,20.165860000000063,1.3228441135855171,0.0640091755,1.3666120000002593,0.6833059999999023,0.683306000000357,0.5000000000001664,20.849166000000423,21.532472000000325,2502,2584,False,False,3P,S2
13,21.532472000000325,1.241743362060283,0.0508973533,1.3749450000000252,0.6999720000003435,0.6749729999996816,0.4909090909088504,22.207445000000007,22.90741700000035,2665,2749,True,False,3P,S2
14,22.90741700000035,1.023108996552472,0.0490638301,1.3666119999998043,0.6416410000001633,0.7249709999996412,0.5304878048778621,23.63238799999999,24.274029000000155,2836,2913,True,True,3P,S2
15,24.274029000000155,1.9971953799769775,0.0513324094,3.974841000000197,0.6916390000001229,3.283202000000074,0.8259958071278602,27.55723100000023,28.248870000000352,3307,3390,True,True,3P,S2
16,28.248870000000352,1.2882966798569422,0.0519112025,1.349945999999818,0.6583070000001499,0.6916389999996682,0.5123456790121689,28.94050900000002,29.59881600000017,3473,3552,False,False,3P,S2
17,29.59881600000017,1.2374042189412326,0.051176738,1.3749450000000252,0.6749730000001364,0.6999719999998888,0.5090909090908189,30.29878800000006,30.973761000000195,3636,3717,False,False,3P,S2
18,30.973761000000195,1.228016132470276,0.0540034214,1.3916110000000117,0.6833059999999023,0.7083050000001094,0.5089820359282181,31.682066000000304,32.36537200000021,3802,3884,False,False,3P,S2
19,32.36537200000021,3.760474877375164,0.0576401654,4.124835000000076,0.6999719999998888,3.4248630000001867,0.8303030303030604,35.79023500000039,36.49020700000028,4295,4379,True,False,3P,S2
20,36.49020700000028,1.3142335058178232,0.0605940971,1.3999439999997776,0.7499699999998484,0.6499739999999292,0.4642857142857375,37.14018100000021,37.89015100000006,4457,4547,True,False,3P,S2
21,37.89015100000006,1.263909602777576,0.0562315421,1.4249429999999847,0.7416369999996277,0.683306000000357,0.4795321637429457,38.57345700000042,39.315094000000045,4629,4718,True,False,3P,S2
22,39.315094000000045,1.2387148191965274,0.0434779654,1.4249429999999847,0.7249709999996412,0.6999720000003435,0.4912280701756849,40.01506600000039,40.74003700000003,4802,4889,True,False,3P,S2
23,40.74003700000003,6.975292834915025,0.0269507988,8.51632600000039,0.7999680000002627,7.716358000000127,0.906066536203496,48.45639500000016,49.25636300000042,5815,5911,True,True,3P,S2
24,49.25636300000042,1.6594681926182735,0.051720993,2.9498819999998886,0.7166379999998753,2.2332440000000133,0.7570621468926885,51.48960700000043,52.20624500000031,6179,6265,True,True,3P,S2
25,52.20624500000031,1.1851489148721384,0.043591065,1.4332759999997506,0.6499739999999292,0.7833019999998214,0.5465116279069472,52.98954700000013,53.63952100000006,6359,6437,False,False,3P,S2
26,53.63952100000006,1.1885027937295785,0.0473477705,1.3582790000000386,0.6833059999999023,0.6749730000001364,0.4969325153375096,54.3144940000002,54.9978000000001,6518,6600,True,False,3P,S2
27,54.9978000000001,1.1862961970192414,0.0460683573,1.3999440000002323,0.6916390000001229,0.7083050000001094,0.5059523809523752,55.70610500000021,56.39774400000033,6685,6768,False,False,3P,S2
28,56.39774400000033,3.62891846812949,0.0474132105,4.033171999999922,0.6666399999999157,3.3665320000000065,0.8347107438016707,59.764276000000336,60.43091600000025,7172,7252,True,False,3P,S2
29,60.43091600000025,1.1612057380421463,0.0457848963,1.3749450000000252,0.6916390000001229,0.6833059999999023,0.4969696969696168,61.11422200000016,61.80586100000028,7334,7417,True,False,3P,S2
30,61.80586100000028,9.428884782597708,0.0502204613,10.757902999999716,0.7583029999996143,9.9996000000001,0.9295120061967806,71.80546100000038,72.56376399999999,8617,8708,True,False,3P,S2
31,72.56376399999999,1.8379199012980083,0.0549228811,5.21645800000033,0.6833059999999023,4.533152000000428,0.8690095846645638,77.09691600000042,77.78022200000032,9252,9334,True,True,3P,S2
32,77.78022200000032,1.2938065421226843,0.055906464,1.3749450000000252,0.7166380000003301,0.6583069999996951,0.4787878787876483,78.43852900000002,79.15516700000035,9413,9499,True,False,3P,S2
33,79.15516700000035,1.27337130777787,0.0567766491,1.4082769999999982,0.7166380000003301,0.6916389999996682,0.4911242603547945,79.84680600000002,80.56344400000035,9582,9668,True,False,3P,S2
34,80.56344400000035,1.1764909814803557,0.0499629927,1.3332799999998317,0.6749730000001364,0.6583069999996951,0.4937499999998337,81.22175100000004,81.89672400000018,9747,9828,True,False,3P,S2
35,81.89672400000018,1.2846125576654872,0.0583230603,1.4082769999999982,0.724971000000096,0.6833059999999023,0.4852071005916472,82.58003000000008,83.30500100000017,9910,9997,True,False,3P,S2
36,83.30500100000017,4.647966447731651,0.0505788625,5.508112999999867,0.7166379999998753,4.791474999999991,0.8698940998487336,88.09647600000017,88.81311400000004,10572,10658,True,False,3P,S2
37,88.81311400000004,1.256592633839007,0.0489440247,1.3666120000002593,0.6833059999999023,0.683306000000357,0.5000000000001664,89.4964200000004,90.1797260000003,10740,10822,False,False,3P,S2
38,90.1797260000003,1.2395509945333485,0.0546839233,1.383277999999791,0.7166379999998753,0.6666399999999157,0.4819277108433853,90.84636600000022,91.56300400000008,10902,10988,True,False,3P,S2
39,91.56300400000008,1.2511475905414244,0.0540786111,1.3916110000000117,0.6916390000001229,0.6999719999998888,0.5029940119759637,92.26297599999998,92.9546150000001,11072,11155,False,False,3P,S2
40,92.9546150000001,1.2621523642254031,0.0603520256,1.3916110000000117,0.7083050000001094,0.6833059999999023,0.4910179640717819,93.637921,94.34622600000012,11237,11322,True,False,3P,S2
